CMDLINE /Users/esharf/Library/Caches/pypoetry/virtualenvs/demisto-sdk-nNDUMGN--py3.10/bin/python /Users/esharf/dev/demisto/demisto-sdk/demisto_sdk/__main__.py cretae-graph
MEM 0.078125 1673245897.6917
MEM 9.167969 1673245897.8155
MEM 14.261719 1673245897.9379
MEM 19.445312 1673245898.0598
MEM 23.882812 1673245898.1823
MEM 28.789062 1673245898.3072
MEM 33.203125 1673245898.4332
MEM 37.625000 1673245898.5596
MEM 44.117188 1673245898.6811
MEM 45.406250 1673245898.8033
MEM 48.089844 1673245898.9258
MEM 50.457031 1673245899.0477
MEM 54.539062 1673245899.1706
MEM 54.601562 1673245899.2924
MEM 55.160156 1673245899.4147
MEM 59.707031 1673245899.5374
MEM 64.671875 1673245899.6613
MEM 67.359375 1673245899.7836
MEM 70.019531 1673245899.9076
MEM 70.210938 1673245900.0307
MEM 74.164062 1673245900.1554
MEM 76.289062 1673245900.2784
MEM 92.445312 1673245900.4009
MEM 105.773438 1673245900.5232
MEM 106.558594 1673245900.6474
MEM 109.988281 1673245900.7694
MEM 113.972656 1673245900.8915
MEM 118.539062 1673245901.0135
MEM 121.550781 1673245901.1369
MEM 124.050781 1673245901.2586
MEM 126.230469 1673245901.3814
MEM 127.421875 1673245901.5037
MEM 128.183594 1673245901.6284
MEM 128.914062 1673245901.7504
MEM 130.152344 1673245901.8774
MEM 131.972656 1673245902.0018
MEM 132.343750 1673245902.1248
MEM 132.460938 1673245902.2511
MEM 133.226562 1673245902.3752
MEM 133.234375 1673245902.4978
MEM 134.496094 1673245902.6209
MEM 135.113281 1673245902.7527
MEM 118.371094 1673245902.8805
MEM 116.886719 1673245903.0096
